The Ring (1927),The Farmers Wife (1928),Champagne (1928),The Manxman (1929),Blackmail (1929),Murder (1930),The Skin Game (1931),Rich and Strange (1931),Number Seventeen (1932)
7.58,7.13,1.88,12.4,5.63,2.9,22.7,2.9,4.5
4.75,7.13,0.92,2.3,32.04,11.4,73.3,1.1,0.9
7.96,3.13,2.67,3.1,2.58,1.7,30.3,9.7,1.6
1.79,7.83,4.83,4.7,2.17,2.6,5.7,11.1,1.2
5.33,1.96,5.42,7,3.71,2.2,5.4,7.8,0.6
3.21,5.71,5.04,11.7,22.88,3.7,105,8.6,3
12.25,4.88,11.88,19.7,52.46,3,82.8,2.3,1
10.92,2.75,6.17,12.2,13.38,17.6,9.7,6.5,10.2
16.38,15.25,5.63,4.4,10.29,7.3,6.2,2.6,3.5
3.33,7.08,1.29,4,15.71,15.1,5.3,1.7,0.7
2,4.71,2.75,2,1.75,24.3,11.4,2.5,2
28.88,5.08,1.71,6.9,16.21,32.2,3.9,1.8,1
4.17,5.5,1.38,9.4,6.88,2.4,5.5,72.1,1.8
8.67,4.42,3.63,1.9,4.46,2.9,6.4,5,1.2
9.67,1.92,5.58,2.6,44.5,2.4,NA,3.8,1.5
5.46,6.79,8.21,11.3,13.67,20,NA,3.3,0.3
2.92,2.04,17.17,12.6,2.46,112.2,NA,5.2,1.8
3.46,2.42,44.79,3.5,67.42,4,NA,19.5,2.9
2.58,1.5,2.38,14.9,3.96,15,NA,11.4,0.7
9.04,3.92,1.71,2.9,1.25,15.4,NA,2.7,8
1.63,0.79,2.92,4.9,2.96,20.6,NA,20.5,2.3
1.42,1.79,6.75,24.3,42.5,1.8,NA,3.1,15
2.54,5,8.17,3.3,4.75,19.2,NA,29.4,7.3
7.04,2.92,20.96,3.4,19.08,16.5,NA,4.3,1.9
1.83,2.88,2.5,8.9,8.46,7.1,NA,30.6,2.9
3.17,7,7.33,2.5,79.33,1.8,NA,2.3,17.7
2,4.08,1.08,13.8,8.29,0.9,NA,4.9,7.8
4.71,1.96,8.54,13.6,40.79,4.5,NA,7.4,14.1
2.38,4,1.79,7.6,7.08,1.3,NA,2.9,9.7
1.71,1.63,11.42,11.9,29.96,13.6,NA,6.2,14.1
7.17,1.88,3.08,13.5,17.38,6.5,NA,5,3.9
1.08,7.33,2.33,2,5.42,26.6,NA,11.7,1.1
1.75,4.13,1.71,8.9,2.42,14.1,NA,79.1,0.8
3.58,3.17,0.79,6.1,13.21,4.3,NA,22.9,0.6
8.33,3.58,13.75,5.6,1.33,33.5,NA,5.6,0.7
3.25,6.46,4.88,8.9,1.71,4.3,NA,2.1,2.9
6.17,1.79,1.33,4,44.92,7.4,NA,2.8,4.3
1.29,4.79,2.08,2.2,6.08,1.4,NA,2.9,1
1.79,1.54,3.42,5.6,23.46,19.1,NA,2.3,6.9
1.46,3.88,2.42,1.3,76.38,1.1,NA,1.7,1.3
1,2.38,2.17,8.6,1.63,2.7,NA,3.6,1.3
2.38,7.71,2.13,6.5,4.63,3,NA,20.4,1.1
1.63,4.63,8,3.8,2.58,9.5,NA,1.4,8
1.71,2.13,4.88,9,5.04,1.5,NA,3.5,0.6
9.29,3.42,6.67,2.2,9.92,7.8,NA,1.4,0.5
1.88,5.08,8.88,9,4.29,5.7,NA,2.6,0.5
2.33,5.17,3,5.7,13.21,5.5,NA,5.4,0.6
1.04,4.92,2.63,1.2,3.54,3.1,NA,2.2,1.4
2.75,3.17,3.13,2.2,1.29,49.9,NA,1.6,2.3
2.38,5.63,6.71,6.5,61.83,8.5,NA,1.7,0.9
2.79,12.67,4.58,5.4,4.63,21.5,NA,2.5,0.9
2,6.58,2.38,2.2,26.17,3.3,NA,4,4.7
3.5,5.13,14.88,3.2,6.67,20.1,NA,6,2.2
4.67,4.42,8.38,5.6,16.42,8.7,NA,2.2,1.3
1.46,6.88,8.5,2,42.25,10.2,NA,1.4,1.2
4.25,7.38,6.17,4,3.63,77.8,NA,2.4,1.8
