genre,film,Normalised_time,Simplified
drama,Straight Outta Compton,78,0.6454757700237799
drama,Straight Outta Compton,79,0.7058997969828011
drama,Straight Outta Compton,80,0.7600646414243499
drama,Straight Outta Compton,81,0.8079094821864727
drama,Straight Outta Compton,82,0.8494775048035479
drama,Straight Outta Compton,83,0.8849103675264307
drama,Straight Outta Compton,84,0.9144410570591048
drama,Straight Outta Compton,85,0.938385283313907
drama,Straight Outta Compton,86,0.9571315859086058
drama,Straight Outta Compton,87,0.9711303455224201
drama,Straight Outta Compton,88,0.9808819102715212
drama,Straight Outta Compton,89,0.9869240606898246
drama,Straight Outta Compton,90,0.9898190465001109
drama,Straight Outta Compton,91,0.9901404339885185
drama,Straight Outta Compton,92,0.9884600043724026
drama,Straight Outta Compton,93,0.9853349410636967
drama,Straight Outta Compton,94,0.9812955372303733
drama,Straight Outta Compton,95,0.9768336446654495
drama,Straight Outta Compton,96,0.9723920708683558
drama,Straight Outta Compton,97,0.9683551136695836
drama,Straight Outta Compton,98,0.9650404019852785
drama,Straight Outta Compton,99,0.9626921877242844
drama,Straight Outta Compton,100,0.9614762078823229
drama,Sully,1,-0.07304221982628278
drama,Sully,2,-0.06919395068646517
drama,Sully,3,-0.06154427878557511
drama,Sully,4,-0.05018618800149166
drama,Sully,5,-0.03525729444634751
drama,Sully,6,-0.016937649599510718
drama,Sully,7,0.004553131497409657
drama,Sully,8,0.028959369041728023
drama,Sully,9,0.05599338583680291
drama,Sully,10,0.08534007526880094
drama,Sully,11,0.11666189353048151
drama,Sully,12,0.14960419258220914
drama,Sully,13,0.18380080457129466
drama,Sully,14,0.21887978413631748
drama,Sully,15,0.2544692122759291
drama,Sully,16,0.29020296430932513
drama,Sully,17,0.32572634491968566
drama,Sully,18,0.36070149534773255
drama,Sully,19,0.3948124814591918
drama,Sully,20,0.4277699765905969
drama,Sully,21,0.45931545970093723
drama,Sully,22,0.48922485731677967
drama,Sully,23,0.5173115669284882
drama,Sully,24,0.543428809727805
drama,Sully,25,0.5674712717075518
drama,Sully,26,0.5893760039927536
drama,Sully,27,0.6091225656472194
drama,Sully,28,0.6267324048995617
drama,Sully,29,0.6422674875510697
drama,Sully,30,0.6558281940554864
drama,Sully,31,0.667550519189178
drama,Sully,32,0.6776026201552121
drama,Sully,33,0.6861807701898459
drama,Sully,34,0.6935047850787621
drama,Sully,35,0.6998129992708968
drama,Sully,36,0.7053568763440015
drama,Sully,37,0.7103953452914415
drama,Sully,38,0.7151889593487126
drama,Sully,39,0.7199939777685072
drama,Sully,40,0.7250564730173401
drama,Sully,41,0.7306065662631882
drama,Sully,42,0.7368528927373172
drama,Sully,43,0.7439773955964675
drama,Sully,44,0.7521305423227067
drama,Sully,45,0.7614270515426793
drama,Sully,46,0.7719422105162428
drama,Sully,47,0.7837088545510809
drama,Sully,48,0.7967150693816383
drama,Sully,49,0.8109026662645036
drama,Sully,50,0.8261664673628963
drama,Sully,51,0.8423544261097933
drama,Sully,52,0.8592685938541711
drama,Sully,53,0.876666930418458
drama,Sully,54,0.8942659424437049
drama,Sully,55,0.9117441197905896
drama,Sully,56,0.9287461270161885
drama,Sully,57,0.944887694270891
drama,Sully,58,0.9597611400611528
drama,Sully,59,0.9729414473949725
drama,Sully,60,0.9839928050465638
drama,Sully,61,0.9924755172059758
drama,Sully,62,0.9979531777598167
drama,Sully,63,1
drama,Sully,64,0.9982081887737067
drama,Sully,65,0.9921952400390763
drama,Sully,66,0.9816110525200061
drama,Sully,67,0.96614473767500475
drama,Sully,68,0.9455310174962519
drama,Sully,69,0.9195561046952332
drama,Sully,70,0.888062966542398
drama,Sully,71,0.8509558819160425
drama,Sully,72,0.8082042108607199
drama,Sully,73,0.7598453070156093
drama,Sully,74,0.705986515485137
drama,Sully,75,0.6468062119058877
drama,Sully,76,0.5825538524179181
drama,Sully,77,0.5135490187648344
drama,Sully,78,0.4401794576056377
drama,Sully,79,0.36289812809666855
drama,Sully,80,0.282219286665635
drama,Sully,81,0.19871365242419214
drama,Sully,82,0.11300271062804512
drama,Sully,83,0.025752224778830435
drama,Sully,84,-0.0623349598334183
drama,Sully,85,-0.15052672731417827
drama,Sully,86,-0.23807001354944368
drama,Sully,87,-0.32419952806831664
drama,Sully,88,-0.4081467570847489
drama,Sully,89,-0.48914912457316495
drama,Sully,90,-0.5664591851928438
drama,Sully,91,-0.6393537216940859
drama,Sully,92,-0.7071426201386094
drama,Sully,93,-0.7691773988414929
drama,Sully,94,-0.8248592713581727
drama,Sully,95,-0.8736466300352046
drama,Sully,96,-0.9150618445280684
drama,Sully,97,-0.9486972791480146
drama,Sully,98,-0.9742204437933002
drama,Sully,99,-0.9913782053866879
drama,Sully,100,-1
drama,The Mule,1,1
drama,The Mule,2,0.990588078843547
drama,The Mule,3,0.9719031795871722
drama,The Mule,4,0.9442210645079498
drama,The Mule,5,0.9079501001862285
drama,The Mule,6,0.863625016507289
drama,The Mule,7,0.8118987358170955
drama,The Mule,8,0.7535323982062934
drama,The Mule,9,0.6893837366775726
drama,The Mule,10,0.6203939813428785
drama,The Mule,11,0.5475734944047463
drama,The Mule,12,0.47198635714954484
drama,The Mule,13,0.3947341462180607
drama,The Mule,14,0.316939148772738
drama,The Mule,15,0.23972727466058985
drama,The Mule,16,0.16421092814649718
drama,The Mule,17,0.09147210219592616
drama,The Mule,18,0.022545954615300845
drama,The Mule,19,-0.041594882327866456
drama,The Mule,20,-0.1000550187620155
drama,The Mule,21,-0.15202982579149082
drama,The Mule,22,-0.19681754980280852
drama,The Mule,23,-0.2338298384322881
drama,The Mule,24,-0.2626005188914752
drama,The Mule,25,-0.28279249654969885
drama,The Mule,26,-0.2942026708915857
drama,The Mule,27,-0.2967647967442337
drama,The Mule,28,-0.29055025052296823
drama,The Mule,29,-0.27576669367859685
drama,The Mule,30,-0.2527546580368216
drama,The Mule,31,-0.22198210979508526
drama,The Mule,32,-0.18403708008418984
drama,The Mule,33,-0.13961847972704777
drama,The Mule,34,-0.08952524367319037
drama,The Mule,35,-0.034643976123271636
drama,The Mule,36,0.024064709812428697
drama,The Mule,37,0.085580944306072
drama,The Mule,38,0.14884121483045165
drama,The Mule,39,0.2127545991834734
drama,The Mule,40,0.2762193657114642
drama,The Mule,41,0.33813968387840476
drama,The Mule,42,0.3974421872971987
drama,The Mule,43,0.45309213433200823
drama,The Mule,44,0.5041089183436611
drama,The Mule,45,0.5495806904672904
drama,The Mule,46,0.5886778723063317
drama,The Mule,47,0.6206653538660998
drama,The Mule,48,0.644913193145862
drama,The Mule,49,0.660905657723909
drama,The Mule,50,0.6682484750251665
drama,The Mule,51,0.66667418633705
