frame,frame_id,time,L,A,B,C,H,S,r,g,b,M3,cluster
152,image_000152,76,10.13560585,15.56689296,-25.93854629,30.25121976,300.9698714,94.8194458,25.58522637,21.85274366,63.22701394,40.28293337,Cluster  1
153,image_000153,76.5,10.1492641,15.54696855,-25.92936154,30.23309408,300.9464521,94.8007921,25.59345927,21.89170849,63.24528274,40.25057258,Cluster  1
154,image_000154,77,9.68624443,14.93584399,-24.88693344,29.0247971,300.9699921,94.85723252,25.02092784,21.23343724,60.72235552,37.05211018,Cluster  1
155,image_000155,77.5,9.78676505,15.08354268,-25.07162196,29.25917706,301.0318788,94.83550362,25.24395983,21.35947887,61.21093719,37.56249695,Cluster  1
156,image_000156,78,10.50644594,15.53873725,-25.82424256,30.1387427,301.0357955,94.4269032,26.59899409,22.58326657,63.91936727,40.74558476,Cluster  1
157,image_000157,78.5,10.43409757,15.58471073,-25.9439655,30.26503772,300.9935146,94.53934048,26.3203034,22.42843371,63.92135444,40.2153748,Cluster  1
158,image_000158,79,16.98067348,13.80586536,-23.87461521,27.57896071,300.0393098,85.1534172,41.27340489,36.57483417,76.19401958,43.95973071,Cluster  1
159,image_000159,79.5,8.727488275,16.29329349,-29.90696181,34.05727244,298.5815218,96.86990664,15.36948777,19.30466559,65.5420233,29.5589355,Cluster  1
160,image_000160,80,8.485418555,15.54945068,-28.51938622,32.48293125,298.6002751,96.75327477,16.22929661,19.10010271,63.03441323,30.53815532,Cluster  1
161,image_000161,80.5,8.482115303,15.53539514,-28.51240807,32.47007748,298.5843938,96.75323506,16.20084189,19.10211232,63.01691196,30.52646546,Cluster  1
162,image_000162,81,8.492289153,15.53189434,-28.51432542,32.47008642,298.5773506,96.74581973,16.21492699,19.1243358,63.04297211,30.52712887,Cluster  1
163,image_000163,81.5,8.777911713,15.59425828,-28.65168973,32.6205492,298.558133,96.56495134,16.82271082,19.65448199,63.8938817,31.36196757,Cluster  1
164,image_000164,82,10.53340295,18.49432795,-28.70422035,34.14633777,302.7939636,95.55676562,27.66466912,21.00190332,68.07536102,38.85144302,Cluster  1
165,image_000165,82.5,11.46445888,18.40067937,-28.28158018,33.74066854,303.049,94.68357388,30.44037489,22.84990298,69.64808282,40.45898472,Cluster  1
166,image_000166,83,11.3761756,17.871545,-27.62769996,32.90413135,302.8976373,94.51077826,30.26585461,22.95301393,68.50741014,39.59390896,Cluster  1
167,image_000167,83.5,11.33063065,17.93000148,-27.76180279,33.04848836,302.8564552,94.59483955,30.05407722,22.84208348,68.59208965,39.55968673,Cluster  1
168,image_000168,84,11.31366668,17.94906009,-27.77845526,33.07281769,302.8685393,94.61702724,30.02330187,22.79704247,68.57641109,39.60510693,Cluster  1
169,image_000169,84.5,11.31537255,17.95629255,-27.78455072,33.08186265,302.8733309,94.61824316,30.03145709,22.79615572,68.5891213,39.61695216,Cluster  1
170,image_000170,85,10.44634,11.62753855,-19.75484372,22.9227712,300.4807149,90.99637872,28.11837022,24.11333263,55.28411227,32.78630189,Cluster  1
171,image_000171,85.5,10.53147587,11.68243109,-19.85721598,23.03884022,300.469221,90.94829041,28.26793218,24.2611892,55.61694212,32.8173819,Cluster  1
172,image_000172,86,10.57394608,11.72279845,-19.97244497,23.15863766,300.4107415,90.96653688,28.28110956,24.33521544,55.87195253,32.57889406,Cluster  1
173,image_000173,86.5,10.67373621,11.90723212,-19.76336102,23.07319976,301.0685511,90.75913383,29.09393203,24.39449015,55.80948944,33.12367034,Cluster  1
174,image_000174,87,10.67767107,11.9186542,-19.77751728,23.09121996,301.0746999,90.7657252,29.10422312,24.39710182,55.83805133,33.137979,Cluster  1
175,image_000175,87.5,10.67034997,11.88233955,-19.74573976,23.04526336,301.0381494,90.74481816,29.06595969,24.40072137,55.77716638,33.11718241,Cluster  1
176,image_000176,88,10.66712779,11.86666542,-19.7293666,23.02315327,301.0257366,90.73427421,29.0527064,24.40182167,55.74707785,33.1227194,Cluster  1
177,image_000177,88.5,12.21145258,17.40566764,-28.72638627,33.58813014,301.2121831,93.98150992,29.52513032,25.14656461,72.0183816,38.93915098,Cluster  1
178,image_000178,89,12.21337931,17.41401417,-28.73067262,33.59612166,301.220569,93.98238906,29.53945051,25.14521248,72.02914538,38.94258516,Cluster  1
179,image_000179,89.5,12.21129396,17.41611106,-28.73080661,33.59732318,301.2235086,93.98465435,29.53841279,25.1395687,72.02446617,38.93947314,Cluster  1
180,image_000180,90,12.13857602,17.4573918,-28.82482312,33.69912328,301.2006667,94.08260721,29.28026142,24.98057673,71.98850048,38.65304934,Cluster  1
181,image_000181,90.5,12.53775624,17.40997928,-28.72419732,33.58849265,301.2204083,93.68593076,30.33465855,25.79741382,72.7824774,39.37289193,Cluster  1
